Chromosome	Type	Start	End	Strand	ID	Alias	Start_Flanking	End_Flanking
chr1	pre_miRNA	172138816	172138878	-	Hsa-Mir-214-v1_pre	MI0000290	172138786	172138908
chr1	pre_miRNA	172144554	172144614	-	Hsa-Mir-199-P1-v1_pre	MI0000281	172144524	172144644
chr1	pre_miRNA	177029374	177029432	-	Hsa-Mir-488_pre	MI0003123	177029344	177029462
chr1	pre_miRNA	178677763	178677822	+	Hsa-Mir-4424_pre	MI0016763	178677733	178677852
chr1	pre_miRNA	193136513	193136573	+	Hsa-Mir-1278_pre	MI0006425	193136483	193136603
chr1	pre_miRNA	198858888	198858947	-	Hsa-Mir-181-P2a_pre	MI0000270	198858858	198858977
chr1	pre_miRNA	198859069	198859130	-	Hsa-Mir-181-P1a_pre	MI0000289	198859039	198859160
chr1	pre_miRNA	205448323	205448383	-	Hsa-Mir-135-P4_pre	MI0000810	205448293	205448413
chr1	pre_miRNA	207801865	207801922	-	Hsa-Mir-29-P2d_pre	MI0000735	207801835	207801952
chr1	pre_miRNA	207802450	207802514	-	Hsa-Mir-29-P1d-v1_pre	MI0000107	207802420	207802544
chr1	pre_miRNA	209432166	209432224	+	Hsa-Mir-205-P4_pre	MI0000285	209432136	209432254
chr1	pre_miRNA	220117877	220117936	-	Hsa-Mir-192-P2_pre	MI0000291	220117847	220117966
chr1	pre_miRNA	220118170	220118227	-	Hsa-Mir-194-P2_pre	MI0000488	220118140	220118257
chr1	pre_miRNA	224257049	224257101	-	Hsa-Mir-320-P2b_pre	MI0003839	224257019	224257131
chr1	pre_miRNA	243346188	243346246	+	Hsa-Mir-4677_pre	MI0017308	243346158	243346276
chr10	pre_miRNA	17845121	17845181	+	Hsa-Mir-511_pre	MI0003127	17845091	17845211
chr10	pre_miRNA	35079608	35079668	-	Hsa-Mir-3611_pre	MI0016001	35079578	35079698
chr10	pre_miRNA	51299588	51299644	+	Hsa-Mir-605-v1_pre	MI0003618	51299558	51299674
chr10	pre_miRNA	57304489	57304547	-	Hsa-Mir-3924_pre	MI0016432	57304459	57304577
chr10	pre_miRNA	63372969	63373033	-	Hsa-Mir-1296_pre	MI0003780	63372939	63373063
chr10	pre_miRNA	67403351	67403410	-	Hsa-Mir-7151_pre	MI0023611	67403321	67403440
chr10	pre_miRNA	86264710	86264769	-	Hsa-Mir-346_pre	MI0000826	86264680	86264799
chr10	pre_miRNA	89592756	89592815	-	Hsa-Mir-103-P1_pre	MI0000114	89592726	89592845
chr10	pre_miRNA	97875824	97875884	-	Hsa-Mir-3085_pre		97875794	97875914
chr10	pre_miRNA	98395232	98395292	-	Hsa-Mir-1287_pre	MI0006349	98395202	98395322
chr10	pre_miRNA	102436520	102436578	+	Hsa-Mir-146-P1_pre	MI0003129	102436490	102436608
chr10	pre_miRNA	103394300	103394361	-	Hsa-Mir-1307_pre	MI0006444	103394270	103394391
chr10	pre_miRNA	112299624	112299680	+	Hsa-Mir-6715_pre	MI0022548	112299594	112299710
chr10	pre_miRNA	116827499	116827555	-	Hsa-Mir-9851_pre	MI0039502	116827469	116827585
chr10	pre_miRNA	117167695	117167754	-	Hsa-Mir-3663_pre	MI0016064	117167665	117167784
chr10	pre_miRNA	133247536	133247593	-	Hsa-Mir-202_pre	MI0003130	133247506	133247623
chr10	pre_miRNA	133371579	133371641	-	Hsa-Mir-3944_pre	MI0016601	133371549	133371671
chr11	pre_miRNA	568112	568171	-	Hsa-Mir-210_pre	MI0000286	568082	568201
chr11	pre_miRNA	1996766	1996822	-	Hsa-Mir-675_pre	MI0005416	1996736	1996852
chr11	pre_miRNA	2134140	2134202	-	Hsa-Mir-483_pre	MI0002467	2134110	2134232
chr11	pre_miRNA	34941851	34941909	+	Hsa-Mir-1343_pre	MI0017320	34941821	34941939
chr11	pre_miRNA	43559675	43559738	+	Hsa-Mir-670_pre	MI0003933	43559645	43559768
chr11	pre_miRNA	43581408	43581471	+	Hsa-Mir-129-P1_pre	MI0000473	43581378	43581501
chr11	pre_miRNA	57641212	57641273	+	Hsa-Mir-130-P1c_pre	MI0000448	57641182	57641303
chr11	pre_miRNA	61815172	61815229	-	Hsa-Mir-1908_pre	MI0008329	61815142	61815259
chr11	pre_miRNA	64891159	64891223	-	Hsa-Mir-192-P4_pre	MI0000234	64891129	64891253
chr11	pre_miRNA	64891368	64891425	-	Hsa-Mir-194-P4_pre	MI0000732	64891338	64891455
chr11	pre_miRNA	72615066	72615124	-	Hsa-Mir-139_pre	MI0000261	72615036	72615154
chr11	pre_miRNA	75335108	75335167	-	Hsa-Mir-326_pre	MI0000808	75335078	75335197
chr11	pre_miRNA	79402031	79402099	-	Hsa-Mir-708_pre	MI0005543	79402001	79402129
chr11	pre_miRNA	79422169	79422226	-	Hsa-Mir-5579_pre	MI0019133	79422139	79422256
chr11	pre_miRNA	111512951	111513009	+	Hsa-Mir-34-P2a_pre	MI0000742	111512921	111513039
chr11	pre_miRNA	111513451	111513505	+	Hsa-Mir-34-P2b_pre	MI0000743	111513421	111513535
chr11	pre_miRNA	122099769	122099830	-	Hsa-Mir-10-P3d_pre	MI0000446	122099739	122099860
chr11	pre_miRNA	122146523	122146589	-	Hsa-Let-7-P1d_pre	MI0000061	122146493	122146619
chr11	pre_miRNA	122152240	122152296	-	Hsa-Mir-10-P2d_pre	MI0000102	122152210	122152326
chr12	pre_miRNA	6963703	6963764	+	Hsa-Mir-8-P1b_pre	MI0000650	6963673	6963794
chr12	pre_miRNA	6964113	6964177	+	Hsa-Mir-8-P2b_pre	MI0000457	6964083	6964207
chr12	pre_miRNA	53991762	53991820	+	Hsa-Mir-196-P4_pre	MI0000279	53991732	53991850
chr12	pre_miRNA	54033967	54034030	+	Hsa-Mir-615_pre	MI0003628	54033937	54034060
chr12	pre_miRNA	54337239	54337299	+	Hsa-Mir-148-P4_pre	MI0000811	54337209	54337329
chr12	pre_miRNA	57519183	57519244	-	Hsa-Mir-616_pre	MI0003629	57519153	57519274
chr12	pre_miRNA	57824620	57824679	-	Hsa-Mir-26-P4_pre	MI0000750	57824590	57824709
chr12	pre_miRNA	62603691	62603767	+	Hsa-Let-7-P2c2_pre	MI0000434	62603661	62603797
chr12	pre_miRNA	79419261	79419319	+	Hsa-Mir-1252_pre	MI0006434	79419231	79419349
chr12	pre_miRNA	86745079	86745136	-	Hsa-Mir-3059_pre		86745049	86745166
chr12	pre_miRNA	95308445	95308500	+	Hsa-Mir-331_pre	MI0000812	95308415	95308530
chr12	pre_miRNA	97491913	97491971	+	Hsa-Mir-1251_pre	MI0006386	97491883	97492001
chr12	pre_miRNA	97563834	97563893	+	Hsa-Mir-135-P2_pre	MI0000453	97563804	97563923
chr13	pre_miRNA	24162431	24162490	+	Hsa-Mir-2276_pre	MI0011282	24162401	24162520
chr13	pre_miRNA	49996428	49996486	-	Hsa-Mir-3613_pre	MI0016003	49996398	49996516
chr13	pre_miRNA	50048984	50049048	-	Hsa-Mir-15-P2a_pre	MI0000070	50048954	50049078
chr13	pre_miRNA	50049130	50049188	-	Hsa-Mir-15-P1a_pre	MI0000069	50049100	50049218
chr13	pre_miRNA	91350618	91350677	+	Hsa-Mir-17-P1a_pre	MI0000071	91350588	91350707
chr13	pre_miRNA	91350756	91350820	+	Hsa-Mir-17-P2a_pre	MI0000072	91350726	91350850
chr13	pre_miRNA	91350904	91350961	+	Hsa-Mir-19-P1a_pre	MI0000073	91350874	91350991
chr13	pre_miRNA	91351072	91351130	+	Hsa-Mir-17-P4a_pre	MI0000076	91351042	91351160
chr13	pre_miRNA	91351207	91351267	+	Hsa-Mir-19-P2a_pre	MI0000074	91351177	91351297
chr13	pre_miRNA	91351324	91351382	+	Hsa-Mir-92-P1a_pre	MI0000093	91351294	91351412
chr14	pre_miRNA	23388602	23388658	-	Hsa-Mir-208-P2_pre	MI0000251	23388572	23388688
chr14	pre_miRNA	23417997	23418053	-	Hsa-Mir-208-P1-v1_pre	MI0005570	23417967	23418083
chr14	pre_miRNA	31014670	31014727	-	Hsa-Mir-624_pre	MI0003638	31014640	31014757
chr14	pre_miRNA	59646962	59647021	-	Hsa-Mir-5586_pre	MI0019143	59646932	59647051
chr14	pre_miRNA	95137922	95137982	-	Hsa-Mir-3173_pre	MI0014204	95137892	95138012
chr14	pre_miRNA	100109673	100109739	+	Hsa-Mir-342_pre	MI0000805	100109643	100109769
chr14	pre_miRNA	100307876	100307933	+	Hsa-Mir-345_pre	MI0000825	100307846	100307963
chr14	pre_miRNA	100852409	100852470	+	Hsa-Mir-770_pre	MI0005118	100852379	100852500
chr14	pre_miRNA	100869075	100869136	+	Hsa-Mir-493_pre	MI0003132	100869045	100869166
chr14	pre_miRNA	100874513	100874572	-	Hsa-Mir-337-as_pre		100874483	100874602
chr14	pre_miRNA	100874515	100874574	+	Hsa-Mir-337-v1_pre	MI0000806	100874485	100874604
chr14	pre_miRNA	100881026	100881089	+	Hsa-Mir-431_pre	MI0001721	100880996	100881119
chr14	pre_miRNA	100881897	100881970	+	Hsa-Mir-433_pre	MI0001723	100881867	100882000
chr14	pre_miRNA	100883001	100883056	+	Hsa-Mir-127_pre	MI0000472	100882971	100883086
chr14	pre_miRNA	100884496	100884564	+	Hsa-Mir-432_pre	MI0003133	100884466	100884594
chr14	pre_miRNA	100884716	100884771	+	Hsa-Mir-136-v1_pre	MI0000475	100884686	100884801
chr14	pre_miRNA	100911151	100911207	+	Hsa-Mir-370_pre	MI0000778	100911121	100911237
chr14	pre_miRNA	101022071	101022129	+	Hsa-Mir-154-P1_pre	MI0000787	101022041	101022159
chr14	pre_miRNA	101023340	101023395	+	Hsa-Mir-154-P2-v1_pre	MI0003675	101023310	101023425
chr14	pre_miRNA	101023799	101023853	+	Hsa-Mir-154-P3-v1_pre	MI0000744	101023769	101023883
chr14	pre_miRNA	101025020	101025076	+	Hsa-Mir-154-P4_pre	MI0000788	101024990	101025106
chr14	pre_miRNA	101025585	101025640	+	Hsa-Mir-154-P5_pre	MI0006656	101025555	101025670
chr14	pre_miRNA	101025747	101025802	+	Hsa-Mir-154-P6a-v1_pre	MI0000807	101025717	101025832
chr14	pre_miRNA	101026035	101026092	+	Hsa-Mir-154-P7_pre	MI0003757	101026005	101026122
chr14	pre_miRNA	101026796	101026855	+	Hsa-Mir-154-P8a_pre	MI0001725	101026766	101026885
chr14	pre_miRNA	101027113	101027172	+	Hsa-Mir-154-P8b_pre	MI0001726	101027083	101027202
chr14	pre_miRNA	101029648	101029703	+	Hsa-Mir-154-P9_pre	MI0003134	101029618	101029733
chr14	pre_miRNA	101030064	101030120	+	Hsa-Mir-154-P10_pre	MI0014205	101030034	101030150
chr14	pre_miRNA	101031997	101032054	+	Hsa-Mir-154-P11_pre	MI0005565	101031967	101032084
chr14	pre_miRNA	101033768	101033825	+	Hsa-Mir-154-P12_pre	MI0003135	101033738	101033855
chr14	pre_miRNA	101039358	101039415	+	Hsa-Mir-376-P1_pre		101039328	101039445
chr14	pre_miRNA	101039695	101039752	+	Hsa-Mir-376-P2_pre	MI0000776	101039665	101039782
chr14	pre_miRNA	101040081	101040138	+	Hsa-Mir-376-P3_pre	MI0003529	101040051	101040168
chr14	pre_miRNA	101040234	101040289	+	Hsa-Mir-154-P14_pre	MI0003676	101040204	101040319
chr14	pre_miRNA	101040460	101040517	+	Hsa-Mir-376-P4_pre	MI0002466	101040430	101040547
chr14	pre_miRNA	101040788	101040845	+	Hsa-Mir-376-P5_pre	MI0000784	101040758	101040875
chr14	pre_miRNA	101042991	101043050	+	Hsa-Mir-154-P16a_pre	MI0003844	101042961	101043080
chr14	pre_miRNA	101044212	101044271	+	Hsa-Mir-154-P16b_pre	MI0003821	101044182	101044301
chr14	pre_miRNA	101045927	101045989	+	Hsa-Mir-154-P17_pre	MI0000789	101045897	101046019
chr14	pre_miRNA	101046469	101046526	+	Hsa-Mir-154-P18_pre	MI0003530	101046439	101046556
chr14	pre_miRNA	101047329	101047392	+	Hsa-Mir-154-P19_pre	MI0003514	101047299	101047422
chr14	pre_miRNA	101047911	101047969	+	Hsa-Mir-154-P20_pre	MI0005540	101047881	101047999
chr14	pre_miRNA	101048676	101048732	+	Hsa-Mir-544_pre	MI0003515	101048646	101048762
chr14	pre_miRNA	101049572	101049631	+	Hsa-Mir-154-P21_pre	MI0003677	101049542	101049661
chr14	pre_miRNA	101052458	101052515	+	Hsa-Mir-154-P23_pre	MI0002471	101052428	101052545
chr14	pre_miRNA	101054316	101054373	+	Hsa-Mir-154-P24_pre	MI0000790	101054286	101054403
chr14	pre_miRNA	101054694	101054754	+	Hsa-Mir-134_pre	MI0000474	101054664	101054784
chr14	pre_miRNA	101055427	101055485	+	Hsa-Mir-154-P25_pre	MI0002469	101055397	101055515
chr14	pre_miRNA	101056233	101056289	+	Hsa-Mir-154-P6b_pre	MI0014206	101056203	101056319
chr14	pre_miRNA	101059769	101059826	+	Hsa-Mir-154-P26_pre	MI0000480	101059739	101059856
chr14	pre_miRNA	101060596	101060649	+	Hsa-Mir-154-P28-v1_pre	MI0003136	101060566	101060679
chr14	pre_miRNA	101062056	101062115	+	Hsa-Mir-154-P29_pre	MI0000785	101062026	101062145
chr14	pre_miRNA	101064504	101064569	+	Hsa-Mir-541_pre	MI0005539	101064474	101064599
chr14	pre_miRNA	101065314	101065367	+	Hsa-Mir-154-P30_pre	MI0001735	101065284	101065397
chr14	pre_miRNA	101065465	101065519	+	Hsa-Mir-154-P31_pre	MI0002464	101065435	101065549
chr14	pre_miRNA	101065606	101065661	+	Hsa-Mir-154-P32_pre	MI0000777	101065576	101065691
chr14	pre_miRNA	101065925	101065981	+	Hsa-Mir-154-P33_pre	MI0002465	101065895	101066011
chr14	pre_miRNA	101066731	101066786	+	Hsa-Mir-154-P34_pre	MI0003678	101066701	101066816
chr14	pre_miRNA	101560326	101560383	-	Hsa-Mir-1247_pre	MI0006382	101560296	101560413
chr14	pre_miRNA	104117431	104117490	+	Hsa-Mir-203-v1_pre	MI0000283	104117401	104117520
chr15	pre_miRNA	31065059	31065116	-	Hsa-Mir-204-P1_pre	MI0000287	31065029	31065146
chr15	pre_miRNA	35372279	35372341	-	Hsa-Mir-3942_pre	MI0016599	35372249	35372371
chr15	pre_miRNA	45433060	45433119	+	Hsa-Mir-147-v1_pre	MI0005544	45433030	45433149
chr15	pre_miRNA	52277131	52277188	-	Hsa-Mir-1266_pre	MI0006403	52277101	52277218
chr15	pre_miRNA	55372952	55373012	-	Hsa-Mir-628_pre	MI0003642	55372922	55373042
chr15	pre_miRNA	59171193	59171249	-	Hsa-Mir-2116_pre	MI0010635	59171163	59171279
chr15	pre_miRNA	62823971	62824029	+	Hsa-Mir-190-P1_pre	MI0000486	62823941	62824059
chr15	pre_miRNA	70079387	70079447	-	Hsa-Mir-629_pre	MI0003643	70079357	70079477
chr15	pre_miRNA	79209800	79209861	+	Hsa-Mir-184_pre	MI0000481	79209770	79209891
chr15	pre_miRNA	85380603	85380662	+	Hsa-Mir-7706_pre	MI0025242	85380573	85380692
chr15	pre_miRNA	85770508	85770567	-	Hsa-Mir-1276_pre	MI0006416	85770478	85770597
chr15	pre_miRNA	88611856	88611917	+	Hsa-Mir-7-P1_pre	MI0000264	88611826	88611947
chr15	pre_miRNA	89368032	89368093	+	Hsa-Mir-9-P1_pre	MI0000468	89368002	89368123
chr15	pre_miRNA	90006764	90006833	+	Hsa-Mir-3174_pre	MI0014208	90006734	90006863
chr16	pre_miRNA	14303980	14304038	+	Hsa-Mir-193-P1a_pre	MI0003137	14303950	14304068
chr16	pre_miRNA	14309300	14309360	+	Hsa-Mir-193-P2a_pre	MI0000767	14309270	14309390
chr16	pre_miRNA	14911237	14911302	+	Hsa-Mir-3180-P2_pre	MI0014215	14911207	14911332
chr16	pre_miRNA	15643266	15643322	+	Hsa-Mir-484_pre	MI0002468	15643236	15643352
chr16	pre_miRNA	16309892	16309957	+	Hsa-Mir-3180-P1_pre	MI0014214	16309862	16309987
chr16	pre_miRNA	18402189	18402254	-	Hsa-Mir-3180-P3_pre	MI0014217	18402159	18402284
chr16	pre_miRNA	56858527	56858594	+	Hsa-Mir-138-P2_pre	MI0000455	56858497	56858624
chr16	pre_miRNA	67202328	67202388	-	Hsa-Mir-328_pre	MI0000804	67202298	67202418
chr16	pre_miRNA	69933103	69933164	+	Hsa-Mir-140-P2-v1_pre	MI0000456	69933073	69933194
chr16	pre_miRNA	81533905	81533965	+	Hsa-Mir-7854_pre	MI0025524	81533875	81533995
chr16	pre_miRNA	85741630	85741689	-	Hsa-Mir-1910_pre	MI0008331	85741600	85741719
chr17	pre_miRNA	1713914	1713973	-	Hsa-Mir-22-P1b_pre	MI0000078	1713884	1714003
chr17	pre_miRNA	2049929	2049986	-	Hsa-Mir-132-P1_pre	MI0000449	2049899	2050016
chr17	pre_miRNA	2050289	2050350	-	Hsa-Mir-132-P2_pre	MI0000288	2050259	2050380
chr17	pre_miRNA	7017627	7017687	-	Hsa-Mir-15-P2d_pre	MI0000489	7017597	7017717
chr17	pre_miRNA	7017938	7017999	-	Hsa-Mir-15-P1d_pre	MI0003138	7017908	7018029
chr17	pre_miRNA	7223308	7223364	-	Hsa-Mir-324_pre	MI0000813	7223278	7223394
chr17	pre_miRNA	12081909	12081986	+	Hsa-Mir-744_pre	MI0005559	12081879	12082016
chr17	pre_miRNA	15251634	15251687	-	Hsa-Mir-4731_pre	MI0017368	15251604	15251717
chr17	pre_miRNA	17813858	17813916	-	Hsa-Mir-33-P1_pre	MI0003646	17813828	17813946
chr17	pre_miRNA	19344513	19344568	-	Hsa-Mir-1180_pre	MI0006273	19344483	19344598
chr17	pre_miRNA	28861383	28861424	-	Hsa-Mir-451_pre	MI0001729	28861353	28861454
chr17	pre_miRNA	28861547	28861604	-	Hsa-Mir-144-v1_pre	MI0000460	28861517	28861634
chr17	pre_miRNA	30117095	30117153	+	Hsa-Mir-423_pre	MI0001445	30117065	30117183
chr17	pre_miRNA	31560016	31560071	+	Hsa-Mir-193-P1b_pre	MI0000487	31559986	31560101
chr17	pre_miRNA	31575438	31575499	+	Hsa-Mir-193-P2b_pre	MI0000769	31575408	31575529
chr17	pre_miRNA	48037174	48037232	-	Hsa-Mir-148-P3_pre	MI0000462	48037144	48037262
chr17	pre_miRNA	48579864	48579926	-	Hsa-Mir-10-P1c-v1_pre	MI0000266	48579834	48579956
chr17	pre_miRNA	48632494	48632553	-	Hsa-Mir-196-P3_pre	MI0000238	48632464	48632583
chr17	pre_miRNA	58331245	58331303	-	Hsa-Mir-142-P2-v1_pre	MI0000458	58331215	58331333
chr17	pre_miRNA	59137785	59137849	-	Hsa-Mir-130-P3b_pre	MI0003820	59137755	59137879
chr17	pre_miRNA	59151147	59151208	-	Hsa-Mir-130-P2b_pre	MI0000745	59151117	59151238
chr17	pre_miRNA	59841273	59841332	+	Hsa-Mir-21_pre	MI0000077	59841243	59841362
chr17	pre_miRNA	69099570	69099625	-	Hsa-Mir-4524_pre	MI0016891	69099540	69099655
chr17	pre_miRNA	74748629	74748685	+	Hsa-Mir-3615_pre	MI0016005	74748599	74748715
chr17	pre_miRNA	81125886	81125948	+	Hsa-Mir-338-P2-as_pre	MI0014228	81125856	81125978
chr17	pre_miRNA	81125886	81125944	-	Hsa-Mir-338-P2_pre	MI0000814	81125856	81125974
chr18	pre_miRNA	21683527	21683580	+	Hsa-Mir-320-P3_pre	MI0003778	21683497	21683610
chr18	pre_miRNA	21825711	21825770	-	Hsa-Mir-133-P1-v1_pre	MI0000450	21825681	21825800
chr18	pre_miRNA	21829015	21829075	-	Hsa-Mir-1-P1_pre	MI0000437	21828985	21829105
chr18	pre_miRNA	24321684	24321737	+	Hsa-Mir-320-P4_pre	MI0008191	24321654	24321767
chr18	pre_miRNA	35904835	35904892	-	Hsa-Mir-187_pre	MI0000274	35904805	35904922
chr18	pre_miRNA	58451088	58451145	+	Hsa-Mir-122_pre	MI0000442	58451058	58451175
chr19	pre_miRNA	813590	813649	+	Hsa-Mir-3187_pre	MI0014231	813560	813679
chr19	pre_miRNA	4770700	4770759	+	Hsa-Mir-7-P4_pre	MI0000265	4770670	4770789
chr19	pre_miRNA	10817429	10817491	-	Hsa-Mir-199-P3-v1_pre	MI0000242	10817399	10817521
chr19	pre_miRNA	13836289	13836348	-	Hsa-Mir-24-P3_pre	MI0000081	13836259	13836378
chr19	pre_miRNA	13836447	13836508	-	Hsa-Mir-27-P3_pre	MI0000085	13836417	13836538
chr19	pre_miRNA	13836593	13836651	-	Hsa-Mir-23-P3_pre	MI0000079	13836563	13836681
chr19	pre_miRNA	13874725	13874785	+	Hsa-Mir-181-P1c_pre	MI0000271	13874695	13874815
chr19	pre_miRNA	13874910	13874972	+	Hsa-Mir-181-P2c_pre	MI0003139	13874880	13875002
chr19	pre_miRNA	20399284	20399342	-	Hsa-Mir-1270_pre	MI0006407	20399254	20399372
chr19	pre_miRNA	45639007	45639070	-	Hsa-Mir-330-v1_pre	MI0000803	45638977	45639100
chr19	pre_miRNA	45674943	45674999	+	Hsa-Mir-642_pre	MI0003657	45674913	45675029
chr19	pre_miRNA	46018961	46019021	+	Hsa-Mir-769_pre	MI0003834	46018931	46019051
chr19	pre_miRNA	49500798	49500853	-	Hsa-Mir-150_pre	MI0000479	49500768	49500883
chr19	pre_miRNA	51692618	51692677	+	Hsa-Mir-10-P2b_pre	MI0000746	51692588	51692707
chr19	pre_miRNA	51692793	51692859	+	Hsa-Let-7-P1b_pre	MI0000066	51692763	51692889
chr19	pre_miRNA	51693268	51693327	+	Hsa-Mir-10-P3b_pre	MI0000469	51693238	51693357
chr19	pre_miRNA	53666693	53666750	+	Hsa-Mir-430-P8b_pre	MI0003140	53666663	53666780
chr19	pre_miRNA	53669177	53669234	+	Hsa-Mir-430-P8a_pre	MI0003141	53669147	53669264
chr19	pre_miRNA	53671978	53672033	+	Hsa-Mir-430-P9_pre	MI0003786	53671948	53672063
chr19	pre_miRNA	53674230	53674289	+	Hsa-Mir-430-P10_pre	MI0003142	53674200	53674319
chr19	pre_miRNA	53675725	53675785	+	Hsa-Mir-430-P11_pre	MI0003143	53675695	53675815
chr19	pre_miRNA	53679016	53679074	+	Hsa-Mir-430-P12b_pre	MI0003144	53678986	53679104
chr19	pre_miRNA	53679953	53680011	+	Hsa-Mir-430-P13_pre	MI0003145	53679923	53680041
chr19	pre_miRNA	53682173	53682233	+	Hsa-Mir-430-P14_pre	MI0003146	53682143	53682263
chr19	pre_miRNA	53685022	53685080	+	Hsa-Mir-430-P12a_pre	MI0003147	53684992	53685110
chr19	pre_miRNA	53686484	53686543	+	Hsa-Mir-430-P15_pre	MI0003148	53686454	53686573
chr19	pre_miRNA	53688495	53688553	+	Hsa-Mir-430-P16a_pre	MI0003832	53688465	53688583
chr19	pre_miRNA	53690895	53690953	+	Hsa-Mir-430-P17_pre	MI0003149	53690865	53690983
chr19	pre_miRNA	53694406	53694464	+	Hsa-Mir-430-P18_pre	MI0003150	53694376	53694494
chr19	pre_miRNA	53695225	53695284	+	Hsa-Mir-430-P19_pre	MI0003151	53695195	53695314
chr19	pre_miRNA	53697547	53697605	+	Hsa-Mir-430-P20_pre	MI0003152	53697517	53697635
chr19	pre_miRNA	53698400	53698458	+	Hsa-Mir-430-P21_pre	MI0003153	53698370	53698488
chr19	pre_miRNA	53700030	53700088	+	Hsa-Mir-430-P22_pre	MI0003154	53700000	53700118
chr19	pre_miRNA	53701228	53701288	+	Hsa-Mir-430-P23_pre	MI0003155	53701198	53701318
chr19	pre_miRNA	53702750	53702808	+	Hsa-Mir-430-P24_pre	MI0003156	53702720	53702838
chr19	pre_miRNA	53706266	53706324	+	Hsa-Mir-430-P25_pre	MI0003157	53706236	53706354
chr19	pre_miRNA	53707468	53707527	+	Hsa-Mir-430-P26_pre	MI0003158	53707438	53707557
chr19	pre_miRNA	53708759	53708817	+	Hsa-Mir-430-P27_pre	MI0003159	53708729	53708847
chr19	pre_miRNA	53711017	53711075	+	Hsa-Mir-430-P28_pre	MI0003160	53710987	53711105
chr19	pre_miRNA	53712282	53712342	+	Hsa-Mir-430-P29a_pre	MI0003161	53712252	53712372
chr19	pre_miRNA	53713361	53713422	+	Hsa-Mir-430-P30_pre	MI0003162	53713331	53713452
chr19	pre_miRNA	53716608	53716668	+	Hsa-Mir-430-P31a_pre	MI0003163	53716578	53716698
chr19	pre_miRNA	53720111	53720170	+	Hsa-Mir-430-P32_pre	MI0003164	53720081	53720200
chr19	pre_miRNA	53721081	53721139	+	Hsa-Mir-430-P29b_pre	MI0003165	53721051	53721169
chr19	pre_miRNA	53722182	53722241	+	Hsa-Mir-430-P33a_pre	MI0003175	53722152	53722271
chr19	pre_miRNA	53725457	53725514	+	Hsa-Mir-430-P34a_pre	MI0003167	53725427	53725544
chr19	pre_miRNA	53726928	53726982	+	Hsa-Mir-430-P35_pre	MI0003168	53726898	53727012
chr19	pre_miRNA	53729853	53729911	+	Hsa-Mir-430-P36_pre	MI0003169	53729823	53729941
chr19	pre_miRNA	53731019	53731078	+	Hsa-Mir-430-P37a_pre	MI0003170	53730989	53731108
chr19	pre_miRNA	53734892	53734950	+	Hsa-Mir-430-P38_pre	MI0003171	53734862	53734980
chr19	pre_miRNA	53736860	53736922	+	Hsa-Mir-430-P34b_pre	MI0003172	53736830	53736952
chr19	pre_miRNA	53739348	53739407	+	Hsa-Mir-430-P37b_pre	MI0003173	53739318	53739437
chr19	pre_miRNA	53741332	53741390	+	Hsa-Mir-430-P29c_pre	MI0003174	53741302	53741420
